label,dice,jaccard,precision,recall,fpr,fnr,vs,hd,msd,mdsd,stdsd,hd95,filename
4,0.7000288671697802,0.5384957015512483,0.6224332648870636,0.7997267502120041,0.001546009278157653,0.20027324978799585,0.24932986927295972,35.18150329589844,3.457804024767881,0.0,6.422663598211873,19.22563362121582,/Users/jianghaocheng/Documents/predict/predictTs/amos_7016.nii.gz
5,0.9779075340973463,0.9567701227830833,0.9669941399517408,0.9890700749228735,5.741909417256162e-05,0.010929925077126488,0.022571789620462766,9.0,0.15679906677070335,0.0,0.7770208247391666,1.1875,/Users/jianghaocheng/Documents/predict/predictTs/amos_7016.nii.gz
6,0.8465492654130601,0.7339275445658424,0.9047281491458141,0.7954007229216004,0.0002016336526566284,0.2045992770783996,-0.12861075183232182,17.737781524658203,1.3648378766613243,0.0,2.5958152256359104,7.063606262207031,/Users/jianghaocheng/Documents/predict/predictTs/amos_7016.nii.gz
7,0.6858924395946999,0.5219454329774614,0.9799554565701559,0.5275779376498801,1.3471509105393004e-06,0.4724220623501199,-0.6001558846453624,9.0,1.0215250474706894,0.0,1.5772288192349428,4.5034708976745605,/Users/jianghaocheng/Documents/predict/predictTs/amos_7016.nii.gz
8,0.5930232558139535,0.4214876033057851,0.7846153846153846,0.4766355140186916,8.381762960151303e-06,0.5233644859813084,-0.4883720930232558,7.371026515960693,1.3992555749775302,0.0,1.9500466757348278,6.0,/Users/jianghaocheng/Documents/predict/predictTs/amos_7016.nii.gz
4,0.9326906524358753,0.8738709677419355,0.9169374492282697,0.9489946051986268,0.00020709115909782518,0.05100539480137322,0.03436047512480633,5.228004455566406,0.3771084756056303,0.0,0.7828649254839604,2.375,/Users/jianghaocheng/Documents/predict/predictTs/amos_7164.nii.gz
5,0.9879323674745369,0.9761525176032948,0.9941144635367338,0.9818266853744906,1.4685445356386219e-05,0.018173314625509453,-0.012437392853541295,1.1875,0.0728003784295175,0.0,0.284869363543311,1.1875,/Users/jianghaocheng/Documents/predict/predictTs/amos_7164.nii.gz
6,0.9594965789342257,0.922146491312278,0.9596403596403597,0.9593528413063018,6.813750350596128e-05,0.04064715869369819,-0.0002996553962942616,5.618051052093506,0.2130077336555178,0.0,0.5265546008554005,1.1875,/Users/jianghaocheng/Documents/predict/predictTs/amos_7164.nii.gz
7,0.7874276261373035,0.6493860845839018,0.9296875,0.6829268292682927,6.062133840801293e-06,0.3170731707317073,-0.30603804797353185,5.74218225479126,0.528482425637013,0.0,0.9436282876857542,2.6553306579589844,/Users/jianghaocheng/Documents/predict/predictTs/amos_7164.nii.gz
8,0.5748930099857347,0.4034034034034034,0.744916820702403,0.46806039488966317,2.3238821495371013e-05,0.5319396051103368,-0.456490727532097,12.960426330566406,2.388459109454668,0.0,3.4081387812671133,9.60631275177002,/Users/jianghaocheng/Documents/predict/predictTs/amos_7164.nii.gz
